date,region,city,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
2022-06-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,cereals and tubers,Potatoes (medium size),KG,actual,Retail,ILS,1.72,0.5
2022-06-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,cereals and tubers,"Rice (small grain, imported)",25 KG,actual,Retail,ILS,155.0,45.0581
2022-06-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,cereals and tubers,Wheat flour (locally processed),50 KG,actual,Retail,ILS,122.0,35.4651
2022-06-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,"meat, fish and eggs",Eggs,2 KG,actual,Retail,ILS,12.18,3.5407
2022-06-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,"meat, fish and eggs",Fish (frozen),KG,actual,Retail,ILS,11.5,3.343
2022-06-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,"meat, fish and eggs",Meat (beef),KG,actual,Retail,ILS,43.1,12.5291
2022-06-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,ILS,18.35,5.3343
2022-06-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,"meat, fish and eggs","Meat (goat, with bones)",KG,actual,Retail,ILS,54.44,15.8256
2022-06-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,milk and dairy,Cheese (goat),KG,actual,Retail,ILS,16.57,4.8169
2022-06-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,milk and dairy,Labaneh,500 G,actual,Retail,ILS,7.59,2.2064
2022-06-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,milk and dairy,Milk (pasteurized),KG,actual,Retail,ILS,6.0,1.7442
2022-06-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,milk and dairy,Milk (powder),2.5 KG,actual,Retail,ILS,92.64,26.9302
2022-06-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,milk and dairy,Yogurt,500 G,actual,Retail,ILS,5.58,1.6221
2022-06-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,miscellaneous food,Salt,KG,actual,Retail,ILS,1.3,0.3779
2022-06-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,miscellaneous food,Sugar,KG,actual,Retail,ILS,3.0,0.8721
2022-06-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,miscellaneous food,Tea,KG,actual,Retail,ILS,12.75,3.7064
2022-06-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,non-food,Fuel (petrol-gasoline),L,actual,Retail,ILS,6.79,1.9738
2022-06-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,non-food,Water (drinking),Cubic meter,actual,Retail,ILS,1.66,0.4826
2022-06-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,oil and fats,Oil (maize),3 L,actual,Retail,ILS,28.31,8.2297
2022-06-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,oil and fats,Oil (olive),KG,actual,Retail,ILS,29.77,8.6541
2022-06-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,pulses and nuts,Chickpeas,KG,actual,Retail,ILS,5.43,1.5785
2022-06-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,pulses and nuts,Lentils,KG,actual,Retail,ILS,6.13,1.782
2022-06-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,vegetables and fruits,Apples (red),KG,actual,Retail,ILS,6.09,1.7703
2022-06-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,vegetables and fruits,Bananas (medium size),KG,actual,Retail,ILS,3.8,1.1047
2022-06-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,vegetables and fruits,Cauliflower,KG,actual,Retail,ILS,3.78,1.0988
2022-06-15,Gaza Strip,Kan Younis,Gaza Strip,31.34611,34.32573,vegetables and fruits,Cucumbers (greenhouse),KG,actual,Retail,ILS,2.08,0.6047
